,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,Baleset típus főcsoport,Súlyosság,geometry
422,7990,2014-06-30,2014,Budapest VIII. kerület,üllői út,,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4755805555556,19.0985194444444,0,0,2,2,jármű-jármű,2.0,POINT (19.0985194444444 47.4755805555556)
423,7999,2014-07-01,2014,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt",sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4996777777778,19.089,0,0,1,2,jármű-jármű,1.0,POINT (19.089 47.4996777777778)
424,8015,2014-07-02,2014,Budapest VIII. kerület,hungária körút,százados út,könnyű sérüléses,"Keresztirányból érkező szembe haladó járművek ütközése, az egyik jármű JOBBRA kanyarodik",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4911972222222,19.1087805555556,0,0,1,2,jármű-jármű,1.0,POINT (19.1087805555556 47.4911972222222)
425,8021,2014-07-03,2014,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4998333333333,19.1061777777778,0,0,1,2,jármű-jármű,1.0,POINT (19.1061777777778 47.4998333333333)
426,8043,2014-07-05,2014,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4995666666667,19.1030055555556,0,0,1,2,jármű-jármű,1.0,POINT (19.1030055555556 47.4995666666667)
427,8050,2014-07-07,2014,Budapest VIII. kerület,kőbányai út,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4883944444444,19.0988305555556,0,0,1,2,jármű-jármű,1.0,POINT (19.0988305555556 47.4883944444444)
428,8092,2014-07-11,2014,Budapest VIII. kerület,kun utca,dologház utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4952138888889,19.0809055555556,0,0,1,3,jármű-jármű,1.0,POINT (19.0809055555556 47.4952138888889)
429,8130,2014-07-15,2014,Budapest VIII. kerület,elnök utca,könyves kálmán körút,súlyos sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4806361111111,19.0941555555556,0,1,0,2,jármű-jármű,5.0,POINT (19.0941555555556 47.4806361111111)
430,8154,2014-07-17,2014,Budapest VIII. kerület,könyves kálmán körút,kőbányai út,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.479475,19.1015222222222,0,0,1,2,jármű-jármű,1.0,POINT (19.1015222222222 47.479475)
431,8166,2014-07-19,2014,Budapest VIII. kerület,reviczky utca,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,"irányváltoztatási, haladási, bekanyarodási hiba",kerékpáros nem adott elsőbbséget,47.4897027777778,19.0657083333333,0,0,1,1,gyalogos,1.0,POINT (19.0657083333333 47.4897027777778)
432,8172,2014-07-20,2014,Budapest VIII. kerület,rákóczi út,,könnyű sérüléses,Utasbalesetek,sebesség nem megfelelő alkalmazása,a jármű és a rakomány sajátosságaihoz,47.4988027777778,19.0767,0,0,1,1,utasbaleset,1.0,POINT (19.0767 47.4988027777778)
433,8182,2014-07-21,2014,Budapest VIII. kerület,auróra utca,bérkocsis utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4947111111111,19.0758361111111,0,0,1,2,jármű-jármű,1.0,POINT (19.0758361111111 47.4947111111111)
434,8185,2014-07-21,2014,Budapest VIII. kerület,práter utca,nagy templom utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4866944444444,19.0707388888889,0,0,1,2,jármű-jármű,1.0,POINT (19.0707388888889 47.4866944444444)
435,8189,2014-07-22,2014,Budapest VIII. kerület,teleki lászló tér,,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,gyalogosok hibája,tiltott helyen való áthaladás,47.4929722222222,19.0829694444444,0,0,1,2,gyalogos,1.0,POINT (19.0829694444444 47.4929722222222)
436,8219,2014-07-24,2014,Budapest VIII. kerület,baross tér,,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,egyéb,egyéb,47.4996166666667,19.0819972222222,0,0,1,1,jármű-jármű,1.0,POINT (19.0819972222222 47.4996166666667)
437,8236,2014-07-26,2014,Budapest VIII. kerület,könyves kálmán körút,,könnyű sérüléses,Szilárd tárgynak ütközés az útpályán,egyéb,rosszullét,47.4766361111111,19.0992555555556,0,0,1,1,egy jármű,1.0,POINT (19.0992555555556 47.4766361111111)
438,8240,2014-07-27,2014,Budapest VIII. kerület,józsef körút,baross utca,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4903916666667,19.0702861111111,0,1,0,4,jármű-jármű,5.0,POINT (19.0702861111111 47.4903916666667)
439,8266,2014-07-29,2014,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,"Egyéb szembe haladó, kanyarodó járművek ütközése","irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.4995361111111,19.1005833333333,0,0,1,2,jármű-jármű,1.0,POINT (19.1005833333333 47.4995361111111)
440,8272,2014-07-30,2014,Budapest VIII. kerület,kerepesi út,,könnyű sérüléses,"Keresztirányból érkező szembe haladó járművek ütközése, az egyik jármű JOBBRA kanyarodik",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4996777777778,19.089,0,0,1,2,jármű-jármű,1.0,POINT (19.089 47.4996777777778)
441,8274,2014-07-30,2014,Budapest VIII. kerület,baross utca,,könnyű sérüléses,ütközés kettős előzés közben,sebesség nem megfelelő alkalmazása,egyéb,47.4895916666667,19.0760972222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0760972222222 47.4895916666667)
442,8275,2014-07-30,2014,Budapest VIII. kerület,könyves kálmán körút,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4854,19.1066277777778,0,0,1,2,jármű-jármű,1.0,POINT (19.1066277777778 47.4854)
443,8285,2014-08-01,2014,Budapest VIII. kerület,rákóczi út,márkus emília utca,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4966083333333,19.0687472222222,0,1,0,2,jármű-jármű,5.0,POINT (19.0687472222222 47.4966083333333)
444,8291,2014-08-01,2014,Budapest VIII. kerület,baross utca,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4892333333333,19.0876305555556,0,1,0,1,gyalogos,5.0,POINT (19.0876305555556 47.4892333333333)
445,8298,2014-08-02,2014,Budapest VIII. kerület,kerepesi út,százados út,könnyű sérüléses,ütközés két jármű egyidejű forgalmi sávváltása közben,elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4995361111111,19.1005833333333,0,0,1,2,jármű-jármű,1.0,POINT (19.1005833333333 47.4995361111111)
446,8308,2014-08-03,2014,Budapest VIII. kerület,üllői út,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4830444444444,19.0778333333333,0,0,1,3,jármű-jármű,1.0,POINT (19.0778333333333 47.4830444444444)
447,8315,2014-08-04,2014,Budapest VIII. kerület,leonardo da vinci utca,,súlyos sérüléses,"Pályaelhagyás  járművel kanyarban, a menetirány szerinti BAL oldalon",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4876666666667,19.0787972222222,0,1,0,1,egy jármű,5.0,POINT (19.0787972222222 47.4876666666667)
448,8316,2014-08-04,2014,Budapest VIII. kerület,üllői út,leonardo da vinci utca,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4755805555556,19.0985194444444,0,0,1,2,gyalogos,1.0,POINT (19.0985194444444 47.4755805555556)
449,8319,2014-08-05,2014,Budapest VIII. kerület,karácsony sándor utca,,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4893333333333,19.0863027777778,0,0,2,1,gyalogos,2.0,POINT (19.0863027777778 47.4893333333333)
450,8320,2014-08-05,2014,Budapest VIII. kerület,orczy út,kőbányai út,könnyű sérüléses,ütközés JOBBRÓL elinduló járművel,"irányváltoztatási, haladási, bekanyarodási hiba",egyenes irányban haladó jármű forgalmának akadályozása,47.4875,19.0926583333333,0,0,1,2,jármű-jármű,1.0,POINT (19.0926583333333 47.4875)
451,8343,2014-08-07,2014,Budapest VIII. kerület,rákóczi út,,könnyű sérüléses,"Gyalogos elütése, a gyalogos az úttesten halad a jármű menetirányával azonos irányba.",gyalogosok hibája,tiltott helyen való áthaladás,47.4981722222222,19.0744027777778,0,0,1,2,gyalogos,1.0,POINT (19.0744027777778 47.4981722222222)
452,8371,2014-08-09,2014,Budapest VIII. kerület,kálvária tér,baross utca,könnyű sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.48895,19.0854277777778,0,0,1,1,gyalogos,1.0,POINT (19.0854277777778 47.48895)
453,8383,2014-08-11,2014,Budapest VIII. kerület,kőbányai út,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.488225,19.1005722222222,0,1,0,2,gyalogos,5.0,POINT (19.1005722222222 47.488225)
454,8385,2014-08-11,2014,Budapest VIII. kerület,baross utca,karácsony sándor utca,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,egyéb,47.4891222222222,19.0804444444444,0,0,1,2,jármű-jármű,1.0,POINT (19.0804444444444 47.4891222222222)
455,8396,2014-08-12,2014,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Menetirány szerint a JOBB oldalon várakozó járműnek ütközés,egyéb,egyéb,47.4944527777778,19.0708472222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0708472222222 47.4944527777778)
456,8399,2014-08-13,2014,Budapest VIII. kerület,józsef körút,,súlyos sérüléses,Gyalogos elütése útkereszteződésben kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,tilos jelzésen való áthaladás,47.4961888888889,19.0709027777778,0,1,0,2,gyalogos,5.0,POINT (19.0709027777778 47.4961888888889)
457,8413,2014-08-13,2014,Budapest VIII. kerület,üllői út,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4776472222222,19.0933666666667,0,0,1,2,jármű-jármű,1.0,POINT (19.0933666666667 47.4776472222222)
458,8423,2014-08-15,2014,Budapest VIII. kerület,rákóczi út,,súlyos sérüléses,Menetirány szerint a JOBB oldalon várakozó járműnek ütközés,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4991777777778,19.0780722222222,0,1,0,2,jármű-jármű,5.0,POINT (19.0780722222222 47.4991777777778)
459,8496,2014-08-22,2014,Budapest VIII. kerület,baross tér,,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,elsőbbség meg nem adása,egyéb,47.4994444444444,19.0811083333333,0,0,1,2,jármű-jármű,1.0,POINT (19.0811083333333 47.4994444444444)
460,8499,2014-08-22,2014,Budapest VIII. kerület,illés utca,tömő utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4857388888889,19.0852444444444,0,0,2,2,jármű-jármű,2.0,POINT (19.0852444444444 47.4857388888889)
461,8513,2014-08-24,2014,Budapest VIII. kerület,asztalos sándor út,,súlyos sérüléses,"Pályaelhagyás járművel egyenes úton, menetirány szerinti JOBB oldalon",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4904083333333,19.1045638888889,0,1,0,1,egy jármű,5.0,POINT (19.1045638888889 47.4904083333333)
462,8521,2014-08-25,2014,Budapest VIII. kerület,rákóczi út,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4955888888889,19.0658638888889,0,0,1,2,gyalogos,1.0,POINT (19.0658638888889 47.4955888888889)
463,8534,2014-08-26,2014,Budapest VIII. kerület,múzeum körút,,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése, az egyik előz vagy forgalmi sávot vált",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4938527777778,19.06035,0,0,1,2,jármű-jármű,1.0,POINT (19.06035 47.4938527777778)
464,8577,2014-08-30,2014,Budapest VIII. kerület,kőbányai út,,súlyos sérüléses,"Egyenes úton szembe haladó járművek ütközése, az egyik résztvevő előz  vagy forgalmi sávot vált",egyéb,szembejövő forgalom zavarása,47.4892472222222,19.0925027777778,0,1,2,2,jármű-jármű,7.0,POINT (19.0925027777778 47.4892472222222)
465,8582,2014-08-30,2014,Budapest VIII. kerület,hungária körút,,könnyű sérüléses,"Gyalogos elütése, a gyalogos az úttesten halad a jármű menetirányával ellentétes irányba.",gyalogosok hibája,tiltott helyen való áthaladás,47.4911944444444,19.108775,0,0,1,2,gyalogos,1.0,POINT (19.108775 47.4911944444444)
466,8586,2014-08-31,2014,Budapest VIII. kerület,könyves kálmán körút,kőbányai út,könnyű sérüléses,"Szembe haladó járművek ütközése útkereszteződésben, az egyik résztvevő BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.479475,19.1015222222222,0,0,1,2,jármű-jármű,1.0,POINT (19.1015222222222 47.479475)
467,8587,2014-08-31,2014,Budapest VIII. kerület,kőbányai út,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4867916666667,19.1063777777778,0,0,1,1,gyalogos,1.0,POINT (19.1063777777778 47.4867916666667)
468,8596,2014-09-01,2014,Budapest VIII. kerület,golgota út,orczy út,könnyű sérüléses,"Keresztirányból érkező, azonos irányba továbbhaladó  járművek ütközése, az egyik jármű JOBBRA  kanyarodik",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4852222222222,19.0960388888889,0,0,1,2,jármű-jármű,1.0,POINT (19.0960388888889 47.4852222222222)
469,8617,2014-09-02,2014,Budapest VIII. kerület,mátyás tér,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4920305555556,19.0788777777778,0,0,1,2,gyalogos,1.0,POINT (19.0788777777778 47.4920305555556)
470,8627,2014-09-03,2014,Budapest VIII. kerület,orczy út,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4818972222222,19.0934944444444,0,0,1,3,jármű-jármű,1.0,POINT (19.0934944444444 47.4818972222222)
471,8640,2014-09-04,2014,Budapest VIII. kerület,hungária körút,ciprus utca,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4951361111111,19.1088166666667,0,0,2,3,jármű-jármű,2.0,POINT (19.1088166666667 47.4951361111111)
472,8657,2014-09-05,2014,Budapest VIII. kerület,baross utca,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4890444444444,19.0662305555556,0,0,1,2,gyalogos,1.0,POINT (19.0662305555556 47.4890444444444)
473,8668,2014-09-06,2014,Budapest VIII. kerület,lujza utca,magdolna utca,könnyű sérüléses,Menetirány szerint a JOBB oldalon várakozó járműnek ütközés,sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4913888888889,19.0857194444444,0,0,1,2,jármű-jármű,1.0,POINT (19.0857194444444 47.4913888888889)
474,8678,2014-09-07,2014,Budapest VIII. kerület,auróra utca,bérkocsis utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4947111111111,19.0758361111111,0,0,2,2,jármű-jármű,2.0,POINT (19.0758361111111 47.4947111111111)
475,8685,2014-09-08,2014,Budapest VIII. kerület,leonardo da vinci utca,práter utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4857305555556,19.0774027777778,0,0,1,2,jármű-jármű,1.0,POINT (19.0774027777778 47.4857305555556)
476,8717,2014-09-11,2014,Budapest VIII. kerület,üllői út,,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,egyéb,"figyelmetlen, gondatlan vezetés",47.4822777777778,19.0800472222222,0,0,1,2,jármű-jármű,1.0,POINT (19.0800472222222 47.4822777777778)
477,8720,2014-09-12,2014,Budapest VIII. kerület,rákóczi út,luther utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4966083333333,19.0687472222222,0,0,1,3,jármű-jármű,1.0,POINT (19.0687472222222 47.4966083333333)
478,8743,2014-09-13,2014,Budapest VIII. kerület,golgota út,,könnyű sérüléses,Gyalogos elütése útkereszteződésen kívül,egyéb,egyéb,47.4848416666667,19.0993305555556,0,0,1,1,gyalogos,1.0,POINT (19.0993305555556 47.4848416666667)
479,8745,2014-09-14,2014,Budapest VIII. kerület,karácsony sándor utca,szerdahelyi utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4926111111111,19.0832472222222,0,0,2,2,jármű-jármű,2.0,POINT (19.0832472222222 47.4926111111111)
480,8749,2014-09-14,2014,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,"Gyalogos elütése az úttesten, tömegközlekedési jármű megállójában",gyalogosok hibája,tilos jelzésen való áthaladás,47.497,19.070525,0,0,1,2,gyalogos,1.0,POINT (19.070525 47.497)
481,8750,2014-09-14,2014,Budapest VIII. kerület,népszínház utca,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4936416666667,19.0820444444444,0,0,1,1,gyalogos,1.0,POINT (19.0820444444444 47.4936416666667)
482,8751,2014-09-14,2014,Budapest VIII. kerület,orczy út,,könnyű sérüléses,Egyéb baleset azonos irányba egyenesen haladó járművek között,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4875,19.0926583333333,0,0,1,2,jármű-jármű,1.0,POINT (19.0926583333333 47.4875)
483,8763,2014-09-15,2014,Budapest VIII. kerület,szigony utca,práter utca,könnyű sérüléses,"Gyalogos elütése, a gyalogos az úttesten halad a jármű menetirányával ellentétes irányba.",elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4844777777778,19.0800805555556,0,0,1,1,gyalogos,1.0,POINT (19.0800805555556 47.4844777777778)
484,8769,2014-09-17,2014,Budapest VIII. kerület,múzeum körút,,súlyos sérüléses,Szilárd tárgynak ütközés az útpályán,egyéb,"figyelmetlen, gondatlan vezetés",47.4943416666667,19.0600666666667,0,1,1,2,egy jármű,6.0,POINT (19.0600666666667 47.4943416666667)
485,8774,2014-09-17,2014,Budapest VIII. kerület,józsef körút,,súlyos sérüléses,ütközés JOBBRÓL BALRA történő sávváltás közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4917166666667,19.0710972222222,0,1,0,2,jármű-jármű,5.0,POINT (19.0710972222222 47.4917166666667)
486,8780,2014-09-17,2014,Budapest VIII. kerület,baross utca,,súlyos sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.",sebesség nem megfelelő alkalmazása,"az útviszonyokhoz (az út vonalvezetéséhez, útburkolat minőségéhez)",47.4888111111111,19.0831638888889,0,1,0,2,jármű-jármű,5.0,POINT (19.0831638888889 47.4888111111111)
487,8838,2014-09-21,2014,Budapest VIII. kerület,bródy sándor utca,vas utca,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4929444444444,19.0671388888889,0,0,1,1,gyalogos,1.0,POINT (19.0671388888889 47.4929444444444)
488,8860,2014-09-22,2014,Budapest VIII. kerület,kőbányai út,,könnyű sérüléses,"Egyéb keresztirányból érkező, kanyarodó járműütközések",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4880972222222,19.1012305555556,0,0,1,3,jármű-jármű,1.0,POINT (19.1012305555556 47.4880972222222)
489,8866,2014-09-23,2014,Budapest VIII. kerület,józsef körút,,súlyos sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4934361111111,19.0711722222222,0,1,0,2,jármű-jármű,5.0,POINT (19.0711722222222 47.4934361111111)
490,8876,2014-09-24,2014,Budapest VIII. kerület,kőbányai út,,könnyű sérüléses,Egyéb közlekedési baleset gyalogossal,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.4874638888889,19.1040638888889,0,0,1,1,gyalogos,1.0,POINT (19.1040638888889 47.4874638888889)
491,8879,2014-09-24,2014,Budapest VIII. kerület,fiumei út,alföldi utca,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4969722222222,19.0821944444444,0,1,0,2,jármű-jármű,5.0,POINT (19.0821944444444 47.4969722222222)
492,8888,2014-09-25,2014,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Menetirány szerint a JOBB oldalon várakozó járműnek ütközés,egyéb,"figyelmetlen, gondatlan vezetés",47.4945305555556,19.0707666666667,0,0,1,2,jármű-jármű,1.0,POINT (19.0707666666667 47.4945305555556)
493,8892,2014-09-26,2014,Budapest VIII. kerület,józsef körút,,könnyű sérüléses,Egyéb egyjárműves (magányos) közlekedési baleset,sebesség nem megfelelő alkalmazása,a jármű és a rakomány sajátosságaihoz,47.4967777777778,19.0703805555556,0,0,1,1,egy jármű,1.0,POINT (19.0703805555556 47.4967777777778)
494,8910,2014-09-28,2014,Budapest VIII. kerület,déri miksa utca,víg utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4931111111111,19.0763194444444,0,0,2,2,jármű-jármű,2.0,POINT (19.0763194444444 47.4931111111111)
495,8923,2014-09-28,2014,Budapest VIII. kerület,baross utca,,könnyű sérüléses,"Egyéb, várakozó járműnek ütközés",sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4888527777778,19.0831694444444,0,0,1,4,jármű-jármű,1.0,POINT (19.0831694444444 47.4888527777778)
496,8939,2014-10-01,2014,Budapest VIII. kerület,józsef körút,józsef körút,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4903916666667,19.0702861111111,0,0,2,2,jármű-jármű,2.0,POINT (19.0702861111111 47.4903916666667)
497,8954,2014-10-02,2014,Budapest VIII. kerület,népszínház utca,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4938416666667,19.0811388888889,0,1,0,2,gyalogos,5.0,POINT (19.0811388888889 47.4938416666667)
498,8974,2014-10-04,2014,Budapest VIII. kerület,csepreghy utca,mária utca,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.","irányváltoztatási, haladási, bekanyarodási hiba","jobbra kis ívű, balra nagy ívű kanyarodási szabály megszegése",47.488225,19.0687055555556,0,0,1,2,jármű-jármű,1.0,POINT (19.0687055555556 47.488225)
499,9007,2014-10-08,2014,Budapest VIII. kerület,leonardo da vinci utca,tömő utca,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a jobbról érkező járműnek,47.4871611111111,19.0777416666667,0,0,2,2,jármű-jármű,2.0,POINT (19.0777416666667 47.4871611111111)
500,9050,2014-10-11,2014,Budapest VIII. kerület,könyves kálmán körút,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű JOBBRA kanyarodik",sebesség nem megfelelő alkalmazása,a forgalmi viszonyokhoz,47.4782777777778,19.1005527777778,0,0,1,2,jármű-jármű,1.0,POINT (19.1005527777778 47.4782777777778)
501,9069,2014-10-12,2014,Budapest VIII. kerület,hungária körút,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4911972222222,19.1087805555556,0,0,1,2,gyalogos,1.0,POINT (19.1087805555556 47.4911972222222)
502,9080,2014-10-13,2014,Budapest VIII. kerület,karácsony sándor utca,,könnyű sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4913638888889,19.0844222222222,0,0,1,2,gyalogos,1.0,POINT (19.0844222222222 47.4913638888889)
503,9132,2014-10-17,2014,Budapest VIII. kerület,baross utca,szentkirályi utca,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a közúti jelzőtáblák utasítása ellenére,47.4893888888889,19.0781444444444,0,1,0,2,jármű-jármű,5.0,POINT (19.0781444444444 47.4893888888889)
